Assassins Creed	81	7.7	9	8.4	Superb	" The first game in the Assassin';s Creed franchise is set in 1191 AD, when the Third Crusade was tearing the Holy Land apart."	 Action Adventure Historic Historic 	M	Ubisoft	7.5	8.1	http://www.ign.com/wikis/assassins-creed	https://www.gamespot.com/assassins-creed-2007/	"Nov. 13, 2007"	PC PS3 X360 WINM
Assassins Creed Brotherhood	90	8.3	8.5	8.9	Great	" Ezio returns in Assassin';s Creed: Brotherhood as he struggles against the powerful Templar Order . Defeating the corrupt tyrants entrenched there will require not only strength, but leadership, as Ezio ..."	 Action Adventure Historic Historic 	M	Ubisoft	8	8.9	http://www.ign.com/wikis/assassins-creed-brotherhood	https://www.gamespot.com/assassins-creed-brotherhood/	"Nov. 16, 2010"	PS3 X360 PC MAC
Assassins Creed II	86	6.9	9	9.1	Superb	 Assassin';s Creed returns with a new adventure set in the Italian Renaissance.	 Action Adventure Historic Historic 	M	Ubisoft	9.2	9.2	http://www.ign.com/wikis/assassins-creed-2	https://www.gamespot.com/assassins-creed-ii/	"Nov. 17, 2009"	PS3 PC X360 MAC
Assassins Creed III	80	6.3	8.5	8	Great	" Assassin';s Creed III is an upcoming free-roaming action-adventure game for the PS3, PC, Xbox 360, and WiiU that takes place both in a near-future setting and 1775 colonial America."	 Action Adventure Historic Historic 	M	Ubisoft	8.6	8.5	http://www.ign.com/wikis/assassins-creed-3	https://www.gamespot.com/assassins-creed-iii/	"Oct. 30, 2012"	PS3 X360 WIIU PC
Assassins Creed IV Black Flag	84	7.7	9	8.2	Superb	 Assassin';s Creed IV: Black Flag is a free-roaming action adventure game for both current gen and next gen consoles. Players will take the role of young captain Edward Kenway whose ...	 Action Adventure Historic Historic 	M	Ubisoft	8.5	8.7	http://www.ign.com/wikis/assassins-creed-4-black-flag	https://www.gamespot.com/assassins-creed-iv-black-flag/	"Oct. 29, 2013"	PS4 PC WIIU X360 PS3 XONE
Assassins Creed Revelations	80	7.2	8	8.3	Great	" In Assassin';s Creed Revelations, you will control master assassin Ezio Auditore, who walks in the footsteps of the legendary mentor Altair, on a journey of discovery and revelation."	 Action Adventure Historic Historic 	M	Ubisoft	8.5	8.6	http://www.ign.com/wikis/assassins-creed-revelations	https://www.gamespot.com/assassins-creed-revelations/	"Nov. 15, 2011"	PS3 X360 PC
Assassins Creed Syndicate	76	6.9	9	7.7	Superb	" Introducing Jacob Frye, who with the help of his twin sister Evie, will change the fate of millions in Assassin';s Creed Syndicate. Rise to rally and lead the underworld to ..."	 Historic Action Adventure 	M	Ubisoft	8.2	8.2	http://www.ign.com/wikis/assassins-creed-syndicate	https://www.gamespot.com/assassins-creed-syndicate/	"Oct. 23, 2015"	PS4 XONE PC
Attack on Titan	77	6.4	6	8	Fair	 The &quot;Attack on Titan&quot; game project is an action game being developed by Omega Force.	 Action Beat-'Em-Up 3D 	M	Koei Tecmo Games	7.3	8.1	http://www.ign.com/wikis/attack-on-titan-wings-of-freedom	https://www.gamespot.com/attack-on-titan/	"Aug. 26, 2016"	PS4 PS3 VITA PC XONE
AudioSurf	85	8.8	7.5	8.3	Good	 AudioSurf is a unique game that can convert any song in your play list into a playable race course.	 Action Miscellaneous Rhythm Music Music 	NOT PROVIDED	Invisible Handlebar	8.6	8.3	http://www.ign.com/wikis/audiosurf	https://www.gamespot.com/audiosurf/	"Feb. 15, 2008"	PC
BanjoKazooie	77	8.3	9.5	8.9	Superb	" It doesn';t stray too far from the formula, but it makes the logical progressions you would expect Nintendo to make."	 Action Platformer 3D Platformer 3D 	E	Microsoft Game Studios	8	8.9	http://www.ign.com/wikis/banjo-kazooie	https://www.gamespot.com/banjo-kazooie/	"Jun. 29, 1998"	N64 X360
BanjoKazooie Nuts & Bolts	79	6.8	8.5	8	Great	" The Banjo-Kazooie franchise comes to the Xbox 360, courtesy of Rare Ltd."	 Action Platformer 3D Platformer 3D 	E10+	Microsoft Game Studios	8.3	7.6	http://www.ign.com/wikis/banjo-kazooie-nuts-bolts	https://www.gamespot.com/banjo-kazooie-nuts-and-bolts/	"Nov. 12, 2008"	X360
