Name,Score,User Score,Wiki
" Ascension Chronicle of the Godslayer ",0,0,http://www.ign.com/wikis/create?objectid=20024031
" Asphalt 7 Heat ",8,8,http://www.ign.com/wikis/create?objectid=135767
" Assassins Creed ",7.5,8.1,http://www.ign.com/wikis/assassins-creed
" Assassins Creed Bloodlines ",6.9,7.6,http://www.ign.com/wikis/assassins-creed-bloodlines
" Assassins Creed Brotherhood ",8,8.9,http://www.ign.com/wikis/assassins-creed-brotherhood
" Assassins Creed Brotherhood Collectors Edition ",0,0,http://www.ign.com/wikis/assassins-creed-brotherhood
" Assassins Creed Brotherhood Limited Codex Edition ",0,0,NOT PROVIDED
" Assassins Creed Brotherhood The Da Vinci Disappearence ",6.5,0,NOT PROVIDED
" Assassins Creed Chronicles China ",6.4,7.6,http://www.ign.com/wikis/assassins-creed-chronicles-china
" Assassins Creed Directors Cut Edition ",7.8,0,http://www.ign.com/wikis/assassins-creed-directors-cut-edition
" Assassins Creed II ",9.2,9.2,http://www.ign.com/wikis/assassins-creed-2
" Assassins Creed III ",8.5,0,NOT PROVIDED
" Assassins Creed III Liberation ",7.2,7.8,http://www.ign.com/wikis/assassins-creed-3-liberation
" Assassins Creed III Limited Edition ",0,0,http://www.ign.com/wikis/assassins-creed-3
" Assassins Creed III The Tyranny of King Washington ",6.8,8,http://www.ign.com/wikis/assassins-creed-3
" Assassins Creed IV Black Flag ",8.5,0,NOT PROVIDED
" Assassins Creed IV Black Flag Freedom Cry ",0,8.2,http://www.ign.com/wikis/assassins-creed-4-black-flag
" Assassins Creed Liberation HD ",5.2,6.2,http://www.ign.com/wikis/assassins-creed-3-liberation
" Assassins Creed Limited Edition ",0,8.4,http://www.ign.com/wikis/create?objectid=908107
" Assassins Creed Revelations ",0,8.6,http://www.ign.com/wikis/assassins-creed-revelations
" Assassins Creed Revelations Signature Edition ",0,8.9,http://www.ign.com/wikis/assassins-creed-revelations
" Assassins Creed Rogue ",6.8,8.2,http://www.ign.com/wikis/assassins-creed-rogue
" Assassins Creed Syndicate ",8.2,8.2,http://www.ign.com/wikis/assassins-creed-syndicate
" Assassins Creed The Ezio Collection ",6,8.3,http://www.ign.com/wikis/assassins-creed-the-ezio-collection
" Assassins Creed Unity ",7.8,0,NOT PROVIDED
" Assassins Creed Utopia ",0,0,http://www.ign.com/wikis/assassins-creed-utopia
" Assault Android Cactus ",0,0,NOT PROVIDED
" Assetto Corsa ",0,9.1,http://www.ign.com/wikis/create?objectid=134178
" Astraea ",0,0,http://www.ign.com/wikis/create?objectid=20044446
" Astyanax ",0,0,NOT PROVIDED
" Asuras Wrath ",7.5,8.1,http://www.ign.com/wikis/asuras-wrath
" Atelier Meruru Plus The Apprentice of Arland ",0,9.3,http://www.ign.com/wikis/create?objectid=20000695
" Atelier Meruru The Apprentice of Arland ",6,0,NOT PROVIDED
" Atelier Meruru The Apprentice of Arland Limited Edition ",0,0,NOT PROVIDED
" Atelier Rorona Plus The Alchemist Of Arland ",5,9.7,http://www.ign.com/wikis/atelier-rorona-the-alchemist-of-arland
" Atelier Totori The Adventurer of Arland ",7.5,0,NOT PROVIDED
" Attack on Titan ",0,0,http://www.ign.com/wikis/attack-on-titan-wings-of-freedom
